Name,Barcode,Description,Weight,Status,CategoryName
Electronics Item 001,2000000000008,Electronics product 1 - generated seed data.,16.02,0,Electronics
Electronics Item 002,2000000000015,Electronics product 2 - generated seed data.,0.72,1,Electronics
Electronics Item 003,2000000000022,Electronics product 3 - generated seed data.,6.95,2,Electronics
Electronics Item 004,2000000000039,Electronics product 4 - generated seed data.,5.66,0,Electronics
Electronics Item 005,2000000000046,Electronics product 5 - generated seed data.,18.44,1,Electronics
Electronics Item 006,2000000000053,Electronics product 6 - generated seed data.,16.95,2,Electronics
Electronics Item 007,2000000000060,Electronics product 7 - generated seed data.,22.32,0,Electronics
Electronics Item 008,2000000000077,Electronics product 8 - generated seed data.,2.26,1,Electronics
Electronics Item 009,2000000000084,Electronics product 9 - generated seed data.,10.61,2,Electronics
Electronics Item 010,2000000000091,Electronics product 10 - generated seed data.,0.84,0,Electronics
Electronics Item 011,2000000000107,Electronics product 11 - generated seed data.,5.54,1,Electronics
Electronics Item 012,2000000000114,Electronics product 12 - generated seed data.,12.68,2,Electronics
Electronics Item 013,2000000000121,Electronics product 13 - generated seed data.,0.76,0,Electronics
Electronics Item 014,2000000000138,Electronics product 14 - generated seed data.,5.05,1,Electronics
Electronics Item 015,2000000000145,Electronics product 15 - generated seed data.,16.28,2,Electronics
Electronics Item 016,2000000000152,Electronics product 16 - generated seed data.,13.67,0,Electronics
Electronics Item 017,2000000000169,Electronics product 17 - generated seed data.,5.59,1,Electronics
Electronics Item 018,2000000000176,Electronics product 18 - generated seed data.,14.77,2,Electronics
Electronics Item 019,2000000000183,Electronics product 19 - generated seed data.,20.25,0,Electronics
Electronics Item 020,2000000000190,Electronics product 20 - generated seed data.,0.26,1,Electronics
Electronics Item 021,2000000000206,Electronics product 21 - generated seed data.,20.16,2,Electronics
Electronics Item 022,2000000000213,Electronics product 22 - generated seed data.,17.48,0,Electronics
Electronics Item 023,2000000000220,Electronics product 23 - generated seed data.,8.57,1,Electronics
Electronics Item 024,2000000000237,Electronics product 24 - generated seed data.,3.97,2,Electronics
Electronics Item 025,2000000000244,Electronics product 25 - generated seed data.,23.93,0,Electronics
Electronics Item 026,2000000000251,Electronics product 26 - generated seed data.,8.48,1,Electronics
Electronics Item 027,2000000000268,Electronics product 27 - generated seed data.,2.41,2,Electronics
Electronics Item 028,2000000000275,Electronics product 28 - generated seed data.,2.51,0,Electronics
Electronics Item 029,2000000000282,Electronics product 29 - generated seed data.,21.2,1,Electronics
Electronics Item 030,2000000000299,Electronics product 30 - generated seed data.,15.13,2,Electronics
Electronics Item 031,2000000000305,Electronics product 31 - generated seed data.,20.2,0,Electronics
Electronics Item 032,2000000000312,Electronics product 32 - generated seed data.,18.27,1,Electronics
Electronics Item 033,2000000000329,Electronics product 33 - generated seed data.,13.45,2,Electronics
Electronics Item 034,2000000000336,Electronics product 34 - generated seed data.,24.33,0,Electronics
Electronics Item 035,2000000000343,Electronics product 35 - generated seed data.,9.53,1,Electronics
Electronics Item 036,2000000000350,Electronics product 36 - generated seed data.,13.85,2,Electronics
Electronics Item 037,2000000000367,Electronics product 37 - generated seed data.,20.75,0,Electronics
Electronics Item 038,2000000000374,Electronics product 38 - generated seed data.,15.5,1,Electronics
Electronics Item 039,2000000000381,Electronics product 39 - generated seed data.,21.56,2,Electronics
Electronics Item 040,2000000000398,Electronics product 40 - generated seed data.,14.48,0,Electronics
Electronics Item 041,2000000000404,Electronics product 41 - generated seed data.,17.64,1,Electronics
Electronics Item 042,2000000000411,Electronics product 42 - generated seed data.,1.24,2,Electronics
Electronics Item 043,2000000000428,Electronics product 43 - generated seed data.,5.77,0,Electronics
Electronics Item 044,2000000000435,Electronics product 44 - generated seed data.,7.31,1,Electronics
Electronics Item 045,2000000000442,Electronics product 45 - generated seed data.,2.09,2,Electronics
Electronics Item 046,2000000000459,Electronics product 46 - generated seed data.,5.9,0,Electronics
Electronics Item 047,2000000000466,Electronics product 47 - generated seed data.,2.61,1,Electronics
Electronics Item 048,2000000000473,Electronics product 48 - generated seed data.,7.02,2,Electronics
Electronics Item 049,2000000000480,Electronics product 49 - generated seed data.,15.93,0,Electronics
Electronics Item 050,2000000000497,Electronics product 50 - generated seed data.,9.18,1,Electronics
Electronics Item 051,2000000000503,Electronics product 51 - generated seed data.,9.32,2,Electronics
Electronics Item 052,2000000000510,Electronics product 52 - generated seed data.,5.32,0,Electronics
Electronics Item 053,2000000000527,Electronics product 53 - generated seed data.,6.75,1,Electronics
Electronics Item 054,2000000000534,Electronics product 54 - generated seed data.,23.42,2,Electronics
Electronics Item 055,2000000000541,Electronics product 55 - generated seed data.,16.24,0,Electronics
Electronics Item 056,2000000000558,Electronics product 56 - generated seed data.,15.27,1,Electronics
Electronics Item 057,2000000000565,Electronics product 57 - generated seed data.,4.36,2,Electronics
Electronics Item 058,2000000000572,Electronics product 58 - generated seed data.,18.26,0,Electronics
Electronics Item 059,2000000000589,Electronics product 59 - generated seed data.,4.17,1,Electronics
Electronics Item 060,2000000000596,Electronics product 60 - generated seed data.,9.55,2,Electronics
Electronics Item 061,2000000000602,Electronics product 61 - generated seed data.,24.74,0,Electronics
Electronics Item 062,2000000000619,Electronics product 62 - generated seed data.,16.04,1,Electronics
Electronics Item 063,2000000000626,Electronics product 63 - generated seed data.,13.97,2,Electronics
Electronics Item 064,2000000000633,Electronics product 64 - generated seed data.,17.15,0,Electronics
Electronics Item 065,2000000000640,Electronics product 65 - generated seed data.,21.09,1,Electronics
Electronics Item 066,2000000000657,Electronics product 66 - generated seed data.,19.42,2,Electronics
Electronics Item 067,2000000000664,Electronics product 67 - generated seed data.,5.8,0,Electronics
Electronics Item 068,2000000000671,Electronics product 68 - generated seed data.,0.9,1,Electronics
Electronics Item 069,2000000000688,Electronics product 69 - generated seed data.,7.95,2,Electronics
Electronics Item 070,2000000000695,Electronics product 70 - generated seed data.,6.77,0,Electronics
Electronics Item 071,2000000000701,Electronics product 71 - generated seed data.,5.35,1,Electronics
Electronics Item 072,2000000000718,Electronics product 72 - generated seed data.,23.58,2,Electronics
Electronics Item 073,2000000000725,Electronics product 73 - generated seed data.,21.92,0,Electronics
Electronics Item 074,2000000000732,Electronics product 74 - generated seed data.,7.94,1,Electronics
Electronics Item 075,2000000000749,Electronics product 75 - generated seed data.,16.42,2,Electronics
Electronics Item 076,2000000000756,Electronics product 76 - generated seed data.,9.95,0,Electronics
Electronics Item 077,2000000000763,Electronics product 77 - generated seed data.,22.87,1,Electronics
Electronics Item 078,2000000000770,Electronics product 78 - generated seed data.,11.53,2,Electronics
Electronics Item 079,2000000000787,Electronics product 79 - generated seed data.,6.7,0,Electronics
Electronics Item 080,2000000000794,Electronics product 80 - generated seed data.,6.24,1,Electronics
Electronics Item 081,2000000000800,Electronics product 81 - generated seed data.,14.08,2,Electronics
Electronics Item 082,2000000000817,Electronics product 82 - generated seed data.,6.64,0,Electronics
Electronics Item 083,2000000000824,Electronics product 83 - generated seed data.,14.66,1,Electronics
Electronics Item 084,2000000000831,Electronics product 84 - generated seed data.,22.46,2,Electronics
Electronics Item 085,2000000000848,Electronics product 85 - generated seed data.,10.05,0,Electronics
Electronics Item 086,2000000000855,Electronics product 86 - generated seed data.,5.56,1,Electronics
Electronics Item 087,2000000000862,Electronics product 87 - generated seed data.,24.94,2,Electronics
